ITER	RESIDUUM	ALFA	BETA
700	1.28205e-05	0.0443786	0.19868
701	1.64152e-05	0.230904	1.63939
702	1.21168e-05	0.153058	0.544856
703	2.1393e-05	0.143491	3.11724
704	1.55795e-05	0.0161579	0.530352
705	1.2566e-05	0.148968	0.650556
706	1.09041e-05	0.141945	0.752985
707	1.12151e-05	0.203236	1.05786
708	2.23968e-05	0.0684373	3.98807
709	9.86017e-06	0.0238142	0.193819
710	1.07378e-05	0.17944	1.18594
711	9.56162e-06	0.182532	0.792924
712	1.14629e-05	0.16675	1.43723
713	1.5006e-05	0.0271069	1.71371
714	9.42846e-06	0.0712817	0.394778
715	7.98524e-06	0.146419	0.71729
716	8.44199e-06	0.192461	1.11767
717	1.56657e-05	0.136729	3.44357
718	8.37058e-06	0.0143273	0.285504
719	8.27154e-06	0.165869	0.976478
720	8.41079e-06	0.178518	1.03395
721	7.00886e-06	0.15045	0.694417
722	1.38868e-05	0.0600081	3.92562
723	6.74856e-06	0.0303491	0.236167
724	6.07591e-06	0.172889	0.810589
725	6.39576e-06	0.188567	1.10806
726	7.49622e-06	0.189959	1.37372
727	1.03511e-05	0.02976	1.90671
728	6.14432e-06	0.0565175	0.352354
729	5.73145e-06	0.164081	0.870123
730	5.24685e-06	0.197459	0.838047
731	9.82192e-06	0.140265	3.50425
732	7.02176e-06	0.0163849	0.511093
733	6.39539e-06	0.176506	0.829549
734	6.44642e-06	0.149126	1.01602
735	7.78992e-06	0.24891	1.46026
736	1.57484e-05	0.0687713	4.08704
737	7.49218e-06	0.0247805	0.22633
738	8.52161e-06	0.198929	1.29368
739	8.68624e-06	0.214867	1.03901
740	1.13346e-05	0.183527	1.70273
741	1.61631e-05	0.0308346	2.03347
742	1.00194e-05	0.0635124	0.384273
743	9.84125e-06	0.166718	0.964747
744	1.07763e-05	0.226324	1.19906
745	1.4268e-05	0.160295	1.75301
746	1.188e-05	0.0165438	0.693274
747	9.66451e-06	0.1178	0.661803
748	9.24405e-06	0.150867	0.914883
749	8.58821e-06	0.167946	0.863139
750	2.36076e-05	0.185067	7.55613
751	9.22145e-06	0.0157298	0.152579
752	9.81547e-06	0.183265	1.13298
753	8.14731e-06	0.149579	0.688979
